  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
    13,     P-773,   2019/11/07 17:08:26,           1-02,       3,       -16.477,      -128.711,         17697,      -1,    1,                                        ,                                        ,                 H2O, 1573172011.29,         0.200,         0.463,        12.101,        -0.002,        -0.007,         0.023,        83.211,        34.828,         0.962,        59.120,         0.864,        -0.805,        0.0000,        0.0000,    0,        41.312,         1,       2,       1,  DGK_norm,       0
    14,     P-773,   2019/11/07 17:17:22,           1-02,       4,       -16.446,      -128.046,         17657,       0,    1,                                        ,                                        ,                 H2O, 1573172547.06,         0.202,         0.424,         7.700,        -0.000,        -0.005,         0.144,        82.901,        34.887,         0.987,        58.860,         0.864,        -0.675,       -0.0000,       -0.0000,    0,        41.250,         1,       2,       1,  DGK_norm,       0
    15,     P-773,   2019/11/07 17:26:18,           1-02,       5,       -16.464,      -127.669,         17476,       0,    1,                                        ,                                        ,                 H2O, 1573173083.63,         0.199,         0.447,         9.647,        -0.001,        -0.004,         0.196,        82.102,        34.144,         0.959,        58.447,         0.865,        -0.779,       -0.0000,       -0.0000,    0,        41.188,         1,       2,       1,  DGK_norm,       0
    16,     P-773,   2019/11/07 17:35:14,           1-02,       6,       -16.422,      -127.337,         17511,       0,    1,                                        ,                                        ,                 H2O, 1573173619.33,         0.193,         0.410,         6.042,        -0.002,        -0.004,         0.119,        82.338,        34.109,         0.990,        58.514,         0.864,        -0.745,       -0.0000,       -0.0000,    0,        41.062,         1,       2,       1,  DGK_norm,       0
    17,     P-773,   2019/11/07 17:44:10,           1-02,       7,       -16.407,      -127.159,         17714,       0,    1,                                        ,                                        ,                 H2O, 1573174155.45,         0.204,         0.430,         9.489,        -0.001,        -0.003,         0.166,        83.322,        34.897,         0.978,        58.586,         0.865,        -0.773,       -0.0000,       -0.0000,    0,        40.938,         1,       2,       1,  DGK_norm,       0
    18,     P-773,   2019/11/07 17:53:06,           1-02,       8,       -16.386,      -126.913,         17721,       0,    1,                                        ,                                        ,                 H2O, 1573174691.89,         0.178,         0.398,         7.771,        -0.001,        -0.004,         0.133,        83.507,        34.647,         0.961,        58.557,         0.865,        -0.902,       -0.0000,       -0.0000,    0,        41.000,         1,       2,       1,  DGK_norm,       0
    19,     P-773,   2019/11/07 18:02:02,           1-02,       9,       -16.393,      -126.941,         17412,       0,    1,                                        ,                                        ,                 H2O, 1573175227.80,         0.203,         0.449,         6.144,        -0.000,        -0.004,         0.091,        81.824,        33.608,         0.977,        59.043,         0.864,        -0.742,        0.0000,        0.0000,    0,        41.125,         1,       2,       1,  DGK_norm,       0
    20,     P-773,   2019/11/07 18:10:58,           1-02,      10,       -16.393,      -126.869,         17323,       0,    1,                                        ,                                        ,                 H2O, 1573175763.89,         0.179,         0.430,        11.557,        -0.001,        -0.005,        -0.120,        81.363,        33.827,         0.932,        57.440,         0.864,        -0.820,        0.0000,        0.0000,    0,        41.562,         1,       2,       1,  DGK_norm,       0
    21,     P-774,   2019/11/07 18:20:35,           1-03,       1,       -38.003,      -296.900,         17707,      -1,    1,                                        ,                                        ,                 H2O, 1573176340.22,         0.197,         0.575,         4.301,         0.002,         0.010,        -0.021,        80.618,        35.484,         0.932,        56.938,         0.863,        -0.475,       -0.0000,       -0.0000,    0,        41.812,         1,       3,       2,  DGK_norm,       0
    22,     P-774,   2019/11/07 18:29:31,           1-03,       2,       -38.433,      -304.433,         17676,      -1,    1,                                        ,                                        ,                 H2O, 1573176876.56,         0.197,         0.703,         3.342,         0.001,         0.014,         0.013,        80.526,        35.364,         0.931,        56.254,         0.864,        -0.589,        0.0000,        0.0000,    0,        41.875,         1,       3,       2,  DGK_norm,       0
    23,     P-774,   2019/11/07 18:38:27,           1-03,       3,       -38.519,      -306.215,         17961,      -1,    1,                                        ,                                        ,                 H2O, 1573177412.49,         0.177,         0.708,         4.164,         0.001,         0.014,        -0.033,        82.212,        35.642,         0.933,        56.840,         0.863,        -0.715,       -0.0000,       -0.0000,    0,        42.938,         1,       3,       2,  DGK_norm,       0
    24,     P-774,   2019/11/07 18:47:23,           1-03,       4,       -38.583,      -307.052,         17514,       0,    1,                                        ,                                        ,                 H2O, 1573177948.78,         0.185,         0.656,         6.126,         0.001,         0.013,         0.081,        79.539,        35.439,         0.891,        55.199,         0.863,        -0.525,        0.0000,        0.0000,    0,        42.312,         1,       3,       2,  DGK_norm,       0
    25,     P-774,   2019/11/07 18:56:19,           1-03,       5,       -38.625,      -307.560,         17372,       0,    1,                                        ,                                        ,                 H2O, 1573178485.25,         0.191,         0.639,         7.390,         0.000,         0.012,         0.127,        78.979,        34.680,         0.906,        54.909,         0.862,        -0.624,       -0.0000,       -0.0000,    0,        42.250,         1,       3,       2,  DGK_norm,       0
    26,     P-775,   2019/11/07 19:05:55,           1-04,       1,       -29.345,      -236.488,         17772,      -1,    1,                                        ,                                        ,                 H2O, 1573179060.79,         0.181,         0.465,         4.996,        -0.001,         0.007,         0.069,        81.211,        35.230,         0.914,        56.865,         0.865,        -0.784,       -0.0000,       -0.0000,    0,        42.812,         1,       4,       2,  DGK_norm,       0
    27,     P-775,   2019/11/07 19:14:51,           1-04,       2,       -29.178,      -233.525,         17702,      -1,    1,                                        ,                                        ,                 H2O, 1573179597.17,         0.191,         0.395,         6.395,        -0.000,         0.004,         0.088,        80.646,        35.026,         0.951,        58.027,         0.863,        -0.594,       -0.0000,       -0.0000,    0,        42.500,         1,       4,       2,  DGK_norm,       0
    28,     P-775,   2019/11/07 19:23:48,           1-04,       3,       -29.174,      -233.006,         17531,      -1,    1,                                        ,                                        ,                 H2O, 1573180133.88,         0.179,         0.447,         5.326,        -0.000,         0.003,         0.024,        79.830,        34.960,         0.913,        55.935,         0.864,        -0.788,        0.0000,        0.0000,    0,        42.438,         1,       4,       2,  DGK_norm,       0
    29,     P-775,   2019/11/07 19:32:44,           1-04,       4,       -29.167,      -232.847,         17314,       0,    1,                                        ,                                        ,                 H2O, 1573180670.59,         0.188,         0.395,         8.797,        -0.001,         0.004,        -0.113,        78.655,        34.352,         0.924,        56.275,         0.864,        -0.602,        0.0000,        0.0000,    0,        42.562,         1,       4,       2,  DGK_norm,       0
    30,     P-775,   2019/11/07 19:41:41,           1-04,       5,       -29.161,      -232.776,         17663,       0,    1,                                        ,                                        ,                 H2O, 1573181206.50,         0.186,         0.421,         5.856,        -0.000,         0.003,        -0.035,        80.443,        35.153,         0.936,        57.166,         0.863,        -0.697,       -0.0000,       -0.0000,    0,        42.625,         1,       4,       2,  DGK_norm,       0
    31,     P-776,   2019/11/07 19:51:18,           1-05,       1,       -38.273,      -296.709,         17506,      -1,    1,                                        ,                                        ,                 H2O, 1573181783.98,         0.177,         0.518,         6.565,         0.001,         0.009,         0.046,        79.621,        34.696,         0.929,        56.739,         0.863,        -0.429,        0.0000,        0.0000,    0,        42.625,         1,       5,       2,  DGK_norm,       0
    32,     P-776,   2019/11/07 20:00:15,           1-05,       2,       -38.472,      -299.404,         17874,      -1,    1,                                        ,                                        ,                 H2O, 1573182320.34,         0.198,         0.535,         9.631,         0.001,         0.009,        -0.050,        81.457,        35.572,         0.939,        57.854,         0.864,        -0.385,        0.0000,        0.0000,    0,        42.750,         1,       5,       2,  DGK_norm,       0
    33,     P-776,   2019/11/07 20:09:11,           1-05,       3,       -38.535,      -300.097,         17707,      -1,    1,                                        ,                                        ,                 H2O, 1573182856.58,         0.189,         0.549,        14.567,         0.001,         0.010,        -0.247,        80.556,        35.215,         0.938,        57.452,         0.862,        -0.465,        0.0000,        0.0000,    0,        42.688,         1,       5,       2,  DGK_norm,       0
    34,     P-776,   2019/11/07 20:18:07,           1-05,       4,       -38.530,      -300.532,         17594,       0,    1,                                        ,                                        ,                 H2O, 1573183392.36,         0.183,         0.512,        15.645,         0.000,         0.009,        -0.285,        79.907,        35.664,         0.907,        55.402,         0.863,        -0.662,       -0.0000,       -0.0000,    0,        42.750,         1,       5,       2,  DGK_norm,       0
    35,     P-776,   2019/11/07 20:27:03,           1-05,       5,       -38.534,      -300.679,         17528,       0,    1,                                        ,                                        ,                 H2O, 1573183928.13,         0.199,         0.540,        13.834,        -0.000,         0.010,        -0.280,        79.675,        35.277,         0.904,        55.442,         0.862,        -0.660,       -0.0000,       -0.0000,    0,        42.750,         1,       5,       2,  DGK_norm,       0
    36,     P-777,   2019/11/07 20:36:39,           1-06,       1,       -31.750,      -255.993,         17829,      -1,    1,                                        ,                                        ,                 H2O, 1573184505.01,         0.168,         0.403,         6.050,         0.000,         0.004,        -0.048,        81.333,        35.709,         0.928,        56.738,         0.862,        -0.705,        0.0000,        0.0000,    0,        42.812,         1,       6,       2,  DGK_norm,       0
    37,     P-777,   2019/11/07 20:45:35,           1-06,       2,       -31.630,      -254.306,         17416,      -1,    1,                                        ,                                        ,                 H2O, 1573185040.61,         0.192,         0.423,         5.600,         0.000,         0.004,         0.017,        79.062,        35.029,         0.922,        55.507,         0.863,        -0.626,        0.0000,        0.0000,    0,        42.812,         1,       6,       2,  DGK_norm,       0
    38,     P-777,   2019/11/07 20:54:32,           1-06,       3,       -31.608,      -253.918,         17724,      -1,    1,                                        ,                                        ,                 H2O, 1573185577.47,         0.203,         0.411,        12.228,         0.000,         0.004,        -0.221,        80.953,        34.923,         0.919,        57.099,         0.863,        -0.754,       -0.0000,       -0.0000,    0,        42.812,         1,       6,       2,  DGK_norm,       0
    39,     P-777,   2019/11/07 21:03:29,           1-06,       4,       -31.584,      -253.823,         17481,       0,    1,                                        ,                                        ,                 H2O, 1573186114.16,         0.179,         0.408,         6.235,        -0.000,         0.003,         0.051,        79.507,        35.213,         0.904,        54.856,         0.863,        -0.770,       -0.0000,       -0.0000,    0,        42.938,         1,       6,       2,  DGK_norm,       0
    40,     P-777,   2019/11/07 21:12:25,           1-06,       5,       -31.634,      -253.679,         17552,       0,    1,                                        ,                                        ,                 H2O, 1573186650.46,         0.181,         0.400,         5.437,         0.000,         0.002,         0.018,        79.650,        34.850,         0.964,        57.844,         0.863,        -0.439,        0.0000,        0.0000,    0,        43.188,         1,       6,       2,  DGK_norm,       0
    41,     P-778,   2019/11/07 21:22:03,           1-07,       1,       -38.282,      -306.100,         17701,      -1,    1,                                        ,                                        ,                 H2O, 1573187228.49,         0.182,         0.519,         4.955,         0.000,         0.008,         0.033,        80.721,        35.215,         0.920,        56.195,         0.863,        -0.653,       -0.0000,       -0.0000,    0,        43.062,         1,       7,       2,  DGK_norm,       0
    42,     P-778,   2019/11/07 21:30:59,           1-07,       2,       -38.429,      -308.536,         17638,      -1,    1,                                        ,                                        ,                 H2O, 1573187764.49,         0.166,         0.495,         5.050,         0.000,         0.008,         0.071,        80.205,        35.229,         0.920,        56.477,         0.862,        -0.491,        0.0000,        0.0000,    0,        42.875,         1,       7,       2,  DGK_norm,       0
    43,     P-778,   2019/11/07 21:39:56,           1-07,       3,       -38.459,      -309.195,         17452,      -1,    1,                                        ,                                        ,                 H2O, 1573188301.13,         0.185,         0.490,         4.948,         0.000,         0.008,         0.052,        79.461,        34.697,         0.906,        55.135,         0.863,        -0.811,        0.0000,        0.0000,    0,        42.938,         1,       7,       2,  DGK_norm,       0
    44,     P-778,   2019/11/07 21:48:51,           1-07,       4,       -38.475,      -309.459,         17739,       0,    1,                                        ,                                        ,                 H2O, 1573188837.38,         0.172,         0.521,         4.803,        -0.000,         0.008,         0.045,        80.870,        35.342,         0.920,        56.117,         0.863,        -0.707,       -0.0000,       -0.0000,    0,        42.875,         1,       7,       2,  DGK_norm,       0
    45,     P-778,   2019/11/07 21:57:47,           1-07,       5,       -38.484,      -309.581,         17298,       0,    1,                                        ,                                        ,                 H2O, 1573189373.10,         0.182,         0.482,         4.716,         0.000,         0.008,         0.065,        78.370,        34.940,         0.902,        54.525,         0.863,        -0.562,       -0.0000,       -0.0000,    0,        42.938,         1,       7,       2,  DGK_norm,       0
    46,     P-779,   2019/11/07 22:07:23,           1-08,       1,       -23.421,      -191.589,         17651,      -1,    1,                                        ,                                        ,                 H2O, 1573189948.23,         0.206,         0.349,         5.541,        -0.000,        -0.000,         0.071,        80.530,        35.056,         0.945,        56.555,         0.863,        -0.942,        0.0000,        0.0000,    0,        43.062,         1,       8,       2,  DGK_norm,       0
    47,     P-779,   2019/11/07 22:16:20,           1-08,       2,       -23.199,      -186.690,         17399,      -1,    1,                                        ,                                        ,                 H2O, 1573190485.40,         0.185,         0.393,         5.504,        -0.000,        -0.003,         0.083,        78.990,        34.554,         0.940,        57.000,         0.862,        -0.670,       -0.0000,       -0.0000,    0,        43.562,         1,       8,       2,  DGK_norm,       0
    48,     P-779,   2019/11/07 22:25:15,           1-08,       3,       -23.113,      -185.476,         17591,      -1,    1,                                        ,                                        ,                 H2O, 1573191020.60,         0.187,         0.459,         5.984,        -0.001,        -0.004,         0.063,        79.981,        35.326,         0.909,        56.382,         0.863,        -0.856,        0.0000,        0.0000,    0,        43.000,         1,       8,       2,  DGK_norm,       0
    49,     P-779,   2019/11/07 22:34:10,           1-08,       4,       -23.094,      -185.093,         17678,       0,    1,                                        ,                                        ,                 H2O, 1573191555.87,         0.204,         0.406,         5.716,        -0.000,        -0.003,         0.069,        80.569,        35.019,         0.942,        57.446,         0.863,        -0.777,        0.0000,        0.0000,    0,        42.875,         1,       8,       2,  DGK_norm,       0
    50,     P-779,   2019/11/07 22:43:07,           1-08,       5,       -23.075,      -184.683,         17615,       0,    1,                                        ,                                        ,                 H2O, 1573192092.53,         0.188,         0.387,         5.709,        -0.001,        -0.002,         0.083,        80.127,        34.783,         0.958,        58.165,         0.862,        -0.576,        0.0000,        0.0000,    0,        42.688,         1,       8,       2,  DGK_norm,       0
    51,     P-780,   2019/11/07 22:52:43,           1-09,       1,       -34.458,      -277.182,         17559,      -1,    1,                                        ,                                        ,                 H2O, 1573192668.68,         0.197,         0.381,         5.951,         0.001,         0.004,         0.082,        79.798,        35.208,         0.945,        56.000,         0.864,        -0.606,       -0.0000,       -0.0000,    0,        42.750,         1,       9,       2,  DGK_norm,       0
    52,     P-780,   2019/11/07 23:01:39,           1-09,       2,       -34.635,      -280.888,         17720,      -1,    1,                                        ,                                        ,                 H2O, 1573193204.94,         0.180,         0.453,         7.379,         0.000,         0.007,         0.112,        80.719,        35.500,         0.885,        56.036,         0.863,        -0.798,        0.0000,        0.0000,    0,        42.875,         1,       9,       2,  DGK_norm,       0
    53,     P-780,   2019/11/07 23:10:36,           1-09,       3,       -34.723,      -281.936,         17614,      -1,    1,                                        ,                                        ,                 H2O, 1573193741.28,         0.188,         0.440,         5.394,         0.001,         0.006,         0.063,        80.195,        35.164,         0.917,        55.802,         0.864,        -0.747,        0.0000,        0.0000,    0,        42.875,         1,       9,       2,  DGK_norm,       0
    54,     P-780,   2019/11/07 23:19:32,           1-09,       4,       -34.754,      -282.268,         17336,       0,    1,                                        ,                                        ,                 H2O, 1573194278.38,         0.194,         0.455,         6.562,         0.001,         0.006,         0.095,        78.670,        34.527,         0.918,        55.619,         0.862,        -0.528,       -0.0000,       -0.0000,    0,        42.750,         1,       9,       2,  DGK_norm,       0
    55,     P-780,   2019/11/07 23:28:29,           1-09,       5,       -34.781,      -282.451,         17510,       0,    1,                                        ,                                        ,                 H2O, 1573194814.51,         0.178,         0.471,         5.163,        -0.000,         0.007,         0.053,        79.582,        34.890,         0.929,        56.062,         0.863,        -0.548,       -0.0000,       -0.0000,    0,        42.750,         1,       9,       2,  DGK_norm,       0
    56,     P-781,   2019/11/07 23:38:05,           1-10,       1,       -23.755,      -191.516,         17571,      -1,    1,                                        ,                                        ,                 H2O, 1573195390.96,         0.196,         0.358,         4.843,        -0.000,         0.000,         0.052,        80.126,        34.915,         0.908,        55.946,         0.863,        -0.964,       -0.0000,       -0.0000,    0,        42.812,         1,      10,       2,  DGK_norm,       0
    57,     P-781,   2019/11/07 23:47:02,           1-10,       2,       -23.564,      -187.730,         17607,      -1,    1,                                        ,                                        ,                 H2O, 1573195928.17,         0.212,         0.424,         5.021,        -0.001,        -0.001,         0.038,        80.011,        35.183,         0.938,        57.339,         0.865,        -0.749,        0.0000,        0.0000,    0,        42.875,         1,      10,       2,  DGK_norm,       0
    58,     P-781,   2019/11/07 23:55:59,           1-10,       3,       -23.527,      -186.916,         17244,      -1,    1,                                        ,                                        ,                 H2O, 1573196464.18,         0.206,         0.396,         4.868,        -0.000,        -0.001,         0.046,        78.213,        34.156,         0.927,        56.417,         0.863,        -0.699,        0.0000,        0.0000,    0,        42.875,         1,      10,       2,  DGK_norm,       0
    59,     P-781,   2019/11/08 00:04:55,           1-10,       4,       -23.539,      -186.673,         17270,       0,    1,                                        ,                                        ,                 H2O, 1573197000.26,         0.179,         0.386,         4.469,        -0.000,        -0.001,         0.024,        78.457,        34.083,         0.913,        56.388,         0.863,        -0.801,       -0.0000,       -0.0000,    0,        42.812,         1,      10,       2,  DGK_norm,       0
    60,     P-781,   2019/11/08 00:13:51,           1-10,       5,       -23.517,      -186.359,         17353,       0,    1,                                        ,                                        ,                 H2O, 1573197536.80,         0.194,         0.411,         4.561,        -0.000,        -0.001,         0.018,        78.725,        34.425,         0.924,        56.905,         0.862,        -0.706,        0.0000,        0.0000,    0,        42.812,         1,      10,       2,  DGK_norm,       0
    61,     P-782,   2019/11/08 00:23:26,           1-11,       1,       -28.966,      -229.508,         17820,      -1,    1,                                        ,                                        ,                 H2O, 1573198111.54,         0.177,         0.383,         5.291,         0.001,         0.001,         0.030,        81.184,        35.329,         0.946,        58.329,         0.863,        -0.549,       -0.0000,       -0.0000,    0,        42.750,         1,      11,       2,  DGK_norm,       0
    62,     P-782,   2019/11/08 00:32:23,           1-11,       2,       -29.043,      -231.089,         17733,      -1,    1,                                        ,                                        ,                 H2O, 1573198648.75,         0.198,         0.434,         5.111,         0.000,         0.004,         0.007,        80.806,        34.942,         0.933,        58.182,         0.863,        -0.569,        0.0000,        0.0000,    0,        42.875,         1,      11,       2,  DGK_norm,       0
    63,     P-782,   2019/11/08 00:41:19,           1-11,       3,       -29.061,      -231.643,         17700,      -1,    1,                                        ,                                        ,                 H2O, 1573199183.99,         0.193,         0.379,         4.821,        -0.000,         0.003,         0.019,        80.653,        35.174,         0.942,        56.900,         0.862,        -0.739,        0.0000,        0.0000,    0,        42.750,         1,      11,       2,  DGK_norm,       0
    64,     P-782,   2019/11/08 00:50:15,           1-11,       4,       -29.076,      -231.841,         17265,       0,    1,                                        ,                                        ,                 H2O, 1573199720.32,         0.188,         0.383,         5.730,        -0.000,         0.003,         0.075,        78.198,        34.427,         0.924,        56.220,         0.863,        -0.616,       -0.0000,       -0.0000,    0,        42.812,         1,      11,       2,  DGK_norm,       0
    65,     P-782,   2019/11/08 00:59:11,           1-11,       5,       -29.075,      -231.999,         17374,       0,    1,                                        ,                                        ,                 H2O, 1573200256.43,         0.203,         0.387,         5.384,        -0.000,         0.003,         0.079,        79.004,        34.622,         0.913,        55.369,         0.863,        -0.895,       -0.0000,       -0.0000,    0,        42.750,         1,      11,       2,  DGK_norm,       0
    66,     P-783,   2019/11/08 01:08:48,           1-12,       1,       -36.307,      -290.754,         17675,      -1,    1,                                        ,                                        ,                 H2O, 1573200833.82,         0.197,         0.444,         6.079,        -0.000,         0.006,         0.103,        80.387,        35.022,         0.935,        57.514,         0.863,        -0.503,       -0.0000,       -0.0000,    0,        42.688,         1,      12,       2,  DGK_norm,       0
    67,     P-783,   2019/11/08 01:17:44,           1-12,       2,       -36.480,      -293.404,         17726,      -1,    1,                                        ,                                        ,                 H2O, 1573201369.56,         0.187,         0.505,         5.958,        -0.000,         0.009,         0.075,        80.591,        35.173,         0.968,        57.523,         0.861,        -0.395,        0.0000,        0.0000,    0,        42.750,         1,      12,       2,  DGK_norm,       0
    68,     P-783,   2019/11/08 01:26:40,           1-12,       3,       -36.477,      -294.139,         17654,      -1,    1,                                        ,                                        ,                 H2O, 1573201905.77,         0.181,         0.463,         5.975,         0.000,         0.007,         0.087,        80.193,        35.580,         0.905,        55.916,         0.863,        -0.654,       -0.0000,       -0.0000,    0,        42.625,         1,      12,       2,  DGK_norm,       0
    69,     P-783,   2019/11/08 01:35:37,           1-12,       4,       -36.513,      -294.373,         17684,       0,    1,                                        ,                                        ,                 H2O, 1573202442.94,         0.198,         0.454,         5.832,        -0.000,         0.007,         0.080,        80.265,        35.901,         0.894,        55.515,         0.863,        -0.604,        0.0000,        0.0000,    0,        42.688,         1,      12,       2,  DGK_norm,       0
    70,     P-783,   2019/11/08 01:44:33,           1-12,       5,       -36.520,      -294.686,         17202,       0,    1,                                        ,                                        ,                 H2O, 1573202979.46,         0.190,         0.491,         6.503,        -0.000,         0.007,         0.111,        77.779,        34.556,         0.922,        55.160,         0.863,        -0.495,       -0.0000,       -0.0000,    0,        42.625,         1,      12,       2,  DGK_norm,       0
    71,     P-784,   2019/11/08 01:54:10,           1-13,       1,       -34.998,      -274.226,         17804,      -1,    1,                                        ,                                        ,                 H2O, 1573203555.28,         0.185,         0.443,         5.910,        -0.000,         0.007,         0.077,        81.032,        35.805,         0.930,        56.471,         0.862,        -0.616,       -0.0000,       -0.0000,    0,        42.812,         1,      13,       2,  DGK_norm,       0
    72,     P-784,   2019/11/08 02:03:05,           1-13,       2,       -34.990,      -273.598,         17435,      -1,    1,                                        ,                                        ,                 H2O, 1573204090.89,         0.204,         0.405,         6.234,         0.000,         0.005,         0.094,        79.138,        35.065,         0.909,        54.976,         0.863,        -0.692,       -0.0000,       -0.0000,    0,        42.750,         1,      13,       2,  DGK_norm,       0
    73,     P-784,   2019/11/08 02:12:02,           1-13,       3,       -34.980,      -273.406,         17592,      -1,    1,                                        ,                                        ,                 H2O, 1573204627.36,         0.193,         0.432,         5.422,        -0.001,         0.004,         0.066,        80.046,        34.953,         0.935,        56.377,         0.863,        -0.701,       -0.0000,       -0.0000,    0,        42.750,         1,      13,       2,  DGK_norm,       0
    74,     P-784,   2019/11/08 02:20:58,           1-13,       4,       -34.983,      -273.462,         17244,       0,    1,                                        ,                                        ,                 H2O, 1573205164.12,         0.181,         0.423,         5.372,        -0.000,         0.004,         0.076,        78.157,        34.577,         0.890,        54.552,         0.862,        -0.710,       -0.0000,       -0.0000,    0,        42.812,         1,      13,       2,  DGK_norm,       0
    75,     P-784,   2019/11/08 02:29:53,           1-13,       5,       -34.994,      -273.334,         17618,       0,    1,                                        ,                                        ,                 H2O, 1573205698.84,         0.163,         0.406,         5.660,        -0.001,         0.005,         0.086,        80.151,        35.090,         0.907,        56.230,         0.862,        -0.681,       -0.0000,       -0.0000,    0,        42.812,         1,      13,       2,  DGK_norm,       0
